x,y,u,v,p,d,F,N,Re
0.3999999999999999,0.3009041016773326,0.0072336014984746,0.0029783020555363,0.0258323411425491,0.26,0.65,12,1.0
0.3999999999999998,0.3020894101355118,0.0046290016518479,0.0013656150997994,0.0397966101471651,0.26,0.65,12,1.0
0.3982145678381609,0.3012558990968779,0.0046879353766942,0.0010063256622316,0.0215969402728816,0.26,0.65,12,1.0
0.3999999999999999,0.165793903118241,0.0071667503139241,-0.0029106537269113,0.0278108021770585,0.26,0.65,12,1.0
0.3978873390565473,0.1651410500328078,0.0037936196458698,-0.0006409242718908892,0.0210860246095665,0.26,0.65,12,1.0
0.3999999999999999,0.1644591373829575,0.0043285523657063,-0.0012223576286806,0.0406212630013612,0.26,0.65,12,1.0
0.3979098168656873,0.3001735886803561,0.0067921816111847,0.0014597648210483,0.017170402356411,0.26,0.65,12,1.0
0.3999999999999999,0.2991146971149566,0.0103729111055152,0.0045752939145812,0.0165344282196748,0.26,0.65,12,1.0
0.3999999999999999,0.167165948183242,0.0096018086381404,-0.0040974200670156,0.0169020951471006,0.26,0.65,12,1.0
0.3972020816885045,0.1664918823219747,0.0063043164026548,-0.0009139187510037916,0.0163751074236447,0.26,0.65,12,1.0
0.3999999999999999,0.2973252925525806,0.0132767454708924,0.0056883188996985,0.0111186347348522,0.26,0.65,12,1.0
0.3976435883225787,0.2980961719426023,0.0106559375439672,0.0024405249730504,0.013294941602333,0.26,0.65,12,1.0
0.3999999999999999,0.1696563731397689,0.0136228735566211,-0.0057648353319175,0.0114346538930325,0.26,0.65,12,1.0
0.397549453836343,0.168689253936483,0.0106830140222397,-0.0024326381071086,0.0127751970069896,0.26,0.65,12,1.0
0.397473759705751,0.2955262225055255,0.014886342952893,0.0034961681845467,0.0092937046878675,0.26,0.65,12,1.0
0.3999999999999999,0.2939540676640547,0.01819777822284,0.0070771839314166,0.007029340492075,0.26,0.65,12,1.0
0.3974652473923159,0.171654247523707,0.0155351265891932,-0.0036522846240751,0.008597883367474,0.26,0.65,12,1.0
0.3999999999999999,0.1730674917276302,0.018513001539981,-0.0070886548568065,0.006672416402731,0.26,0.65,12,1.0
0.3972851869531374,0.2917306865051977,0.0204667261636711,0.004575928086598,0.0057798790212194,0.26,0.65,12,1.0
0.3999999999999999,0.2897912593100085,0.0236026697626846,0.0079794432578707,0.0037040265182021,0.26,0.65,12,1.0
0.3972661508864209,0.175378806129696,0.0208771554450672,-0.0046089843654871,0.005292603854511,0.26,0.65,12,1.0
0.3999999999999999,0.1771369949594271,0.023713861826709,-0.0079353117583615,0.0035047004666525,0.26,0.65,12,1.0
0.3970761649029546,0.2869482643304193,0.0265974940173943,0.005296163231934,0.0030249129310412,0.26,0.65,12,1.0
0.3999999999999999,0.2850878121192751,0.0290219177695337,0.0083780727623024,0.0013497935824814,0.26,0.65,12,1.0
0.3969130335749455,0.2826372561740881,0.0314397112091166,0.0055447374098841,0.0013068047753128,0.26,0.65,12,1.0
0.3999999999999999,0.2808131478427195,0.0333399572117976,0.0083380478708858,-0.00023911101914648932,0.26,0.65,12,1.0
0.3970404182531806,0.1800621024119936,0.0268180767415246,-0.0052233637091971,0.0028155083108202,0.26,0.65,12,1.0
0.3999999999999999,0.1815669041676454,0.0288124074462942,-0.0082859300027238,0.0012654943477268,0.26,0.65,12,1.0
0.3967532611019498,0.2788302093979176,0.0352158514809352,0.0055302706232328,0.0002226164783218052,0.26,0.65,12,1.0
0.3999999999999999,0.2769023467895147,0.0368474374283292,0.0080905735756109,-0.0012253977758095,0.26,0.65,12,1.0
0.3965790911277923,0.274818680494786,0.0387569297946147,0.0053458737033602,-0.0005811906643835091,0.26,0.65,12,1.0
0.3999999999999999,0.2727903546834462,0.0401365958066975,0.0076696517897957,-0.001934050637466,0.26,0.65,12,1.0
0.3968966179114964,0.1840240106410178,0.03124660353865,-0.0054287089456598,0.0011740621517866,0.26,0.65,12,1.0
0.3999999999999999,0.1858533283108667,0.0331424746713994,-0.0082341564430374,-0.00031825771929608186,0.26,0.65,12,1.0
0.3964025688360684,0.2705926936668953,0.042050794808051,0.005021082972262,-0.0012262075422649,0.26,0.65,12,1.0
0.3999999999999999,0.2684669447624196,0.0431764712943139,0.0070891234837122,-0.0025057180317462,0.26,0.65,12,1.0
0.3962574466849024,0.2661549398769148,0.045056993199319,0.0045964355380588,-0.0017371308457481,0.26,0.65,12,1.0
0.3999999999999998,0.2639213104268176,0.0459358500959191,0.0063649739231488,-0.0029440979082109,0.26,0.65,12,1.0
0.3960957364465941,0.2614859762163202,0.0477531987774477,0.004058042915325,-0.0021308559779466,0.26,0.65,12,1.0
0.3999999999999999,0.259142133625361,0.0483791252045085,0.0055128741025467,-0.0032775347191239,0.26,0.65,12,1.0
0.395964287562044,0.2565961806701111,0.0500886576543593,0.0034432761354339,-0.0024352459865801,0.26,0.65,12,1.0
0.3999999999999999,0.2541324466067977,0.0504607308014874,0.00454669403916,-0.0035287093617053,0.26,0.65,12,1.0
0.3967325910341321,0.1878490045195523,0.0350523884949274,-0.0053947561803379,0.00013774993338316814,0.26,0.65,12,1.0
0.3999999999999998,0.1897642201070679,0.036663706756362,-0.0079709952763997,-0.0013126350245515,0.26,0.65,12,1.0
0.3965705251014963,0.1918634829528196,0.0386104092610211,-0.0051979416632052,-0.0006777969080921726,0.26,0.65,12,1.0
0.3999999999999999,0.193876258010003,0.0399679455750242,-0.007531307918402,-0.002027857888237,0.26,0.65,12,1.0
0.3958734179044409,0.2515181433327215,0.0520095054858044,0.0027670610500423,-0.0026706504925465,0.26,0.65,12,1.0
0.3999999999999999,0.2489667571233035,0.0521139840148919,0.0034949917833021,-0.0037186260305628,0.26,0.65,12,1.0
0.3958325736289783,0.2463472649185257,0.0534579172021039,0.0020489981082131,-0.0028443770739733,0.26,0.65,12,1.0
0.3999999999999999,0.243755615832183,0.0532919827667052,0.0023941388283965,-0.0038525599834527,0.26,0.65,12,1.0
0.3958159429328703,0.2411487350962272,0.0544169688957855,0.0012993194529909,-0.0029593318742094,0.26,0.65,12,1.0
0.3999999999999999,0.2385444745827583,0.0539898692355818,0.0012677851622794,-0.0039331674996512,0.26,0.65,12,1.0
0.3958057907944961,0.2359375374044444,0.0548912749061174,0.0005282058355015615,-0.0030189763889501,0.26,0.65,12,1.0
0.3999999999999999,0.2333333333333335,0.054214723249178,0.00012814037302800278,-0.0039655062020133,0.26,0.65,12,1.0
0.3964020032433359,0.196077137586776,0.0419097896857787,-0.004857828648627,-0.0013234193430299,0.26,0.65,12,1.0
0.3999999999999999,0.1981996192509237,0.0430246951590138,-0.0069306939373956,-0.0025956777286472,0.26,0.65,12,1.0
0.3958006580966078,0.2307218737610723,0.0548831879507224,-0.00025125668148728023,-0.0030269422246268,0.26,0.65,12,1.0
0.3999999999999999,0.2281221920839087,0.053968755690408,-0.0010140261159936,-0.0039526637412527,0.26,0.65,12,1.0
0.3962311717514441,0.2005199608364606,0.044939532568788,-0.0043967115100801,-0.001824363503454,0.26,0.65,12,1.0
0.3999999999999999,0.2027452353434526,0.0458032428994036,-0.0061873465699668,-0.0030311422560885,0.26,0.65,12,1.0
0.3958035111885497,0.2255072054488356,0.0543915142799088,-0.001026725278913,-0.0029833222262699,0.26,0.65,12,1.0
0.3999999999999999,0.222911050834484,0.0532494372091364,-0.0021479741646185,-0.0038906682441993,0.26,0.65,12,1.0
0.3960822067994804,0.2051864530067162,0.0476532168030793,-0.0038437666437163,-0.0022138824363754,0.26,0.65,12,1.0
0.3999999999999999,0.2075245330413058,0.0482683621069144,-0.0053150417023098,-0.003359050242631,0.26,0.65,12,1.0
0.3958149887223769,0.2203002890125782,0.0534121926595876,-0.001785552907473,-0.0028839397872136,0.26,0.65,12,1.0
0.3999999999999999,0.2176999095433633,0.0520493371183434,-0.00326108122525,-0.0037741514236704,0.26,0.65,12,1.0
0.3958660728810426,0.2151178040032167,0.0519375355327376,-0.0025211100904728,-0.0027297223853391,0.26,0.65,12,1.0
0.3999999999999999,0.2125342200598691,0.0503728956161089,-0.0043296816701525,-0.0036007227985259,0.26,0.65,12,1.0
0.3959557357040254,0.2100635476587802,0.0500033305197031,-0.0032120541010843,-0.0025106813895344,0.26,0.65,12,1.0
0.2683194504429623,0.4223599542035802,9.46469199999774e-06,-0.00014473014869510487,0.0224154149255876,0.26,0.65,12,1.0
0.2688990123491004,0.420281924389871,9.600759466879091e-06,-0.00011463112943315836,0.0224036687511322,0.26,0.65,12,1.0
0.2693317071802669,0.4224443089316888,5.707628311320548e-06,-7.72893278383689e-05,0.022396893184811,0.26,0.65,12,1.0
0.2667530579892482,0.422229421499104,1.3921856297366772e-05,-0.00024624132890054614,0.0224258163016362,0.26,0.65,12,1.0
0.267685999801068,0.419542646829282,1.5451785698028243e-05,-0.00019409811202007637,0.0224098133865382,0.26,0.65,12,1.0
0.2645990117375725,0.4220499176447977,1.673071168769496e-05,-0.00037874988165039207,0.0224272419020474,0.26,0.65,12,1.0
0.2654680925457399,0.4196957091162923,2.0666406628398188e-05,-0.000328633203827414,0.02242579019026,0.26,0.65,12,1.0
0.2628939442246161,0.419435010690518,2.4481389465388625e-05,-0.0004768244545835733,0.0224293648325767,0.26,0.65,12,1.0
0.2609653386357997,0.4217471115529833,1.7401457912307388e-05,-0.0005837026230480203,0.0224364836409979,0.26,0.65,12,1.0
0.258935892147912,0.4189009507234184,2.7677416139843053e-05,-0.0006879450500116951,0.0224307042501192,0.26,0.65,12,1.0
0.2570400382833581,0.4214200031902798,1.735209166410651e-05,-0.0007832231189092891,0.0224308243827353,0.26,0.65,12,1.0
0.2544334157680337,0.4183314470215169,3.126822042016383e-05,-0.0009024926809812692,0.0224021853440614,0.26,0.65,12,1.0
0.2527696206761635,0.4210641350563469,1.8862917201847252e-05,-0.0009753340167208584,0.0223939909037105,0.26,0.65,12,1.0
0.2506524790809378,0.4178718296931096,3.749275608963272e-05,-0.0010639571342901,0.0223684769881555,0.26,0.65,12,1.0
0.2486395716247689,0.420719964302064,2.4041524815774493e-05,-0.0011405702370702,0.0223593307804772,0.26,0.65,12,1.0
0.2469878188827458,0.4174095228695772,4.666426433123696e-05,-0.0012055154715106,0.0223307913908108,0.26,0.65,12,1.0
0.2448745369134839,0.4204062114094569,3.225520349978211e-05,-0.0012743733369858,0.0223193684833555,0.26,0.65,12,1.0
0.2431433069202752,0.4169281735466705,5.9443694672102936e-05,-0.0013384874661065,0.0222841649826907,0.26,0.65,12,1.0
0.2409208420474185,0.4200767368372848,4.448527085420107e-05,-0.0013995284243049,0.022270470388498,0.26,0.65,12,1.0
0.2391040511115045,0.4164170454973842,7.601279308740778e-05,-0.0014622444716656,0.0222301864331917,0.26,0.65,12,1.0
0.2367692062392174,0.4197307671866014,6.055017682438294e-05,-0.0015149944235179,0.0222141017487285,0.26,0.65,12,1.0
0.234848758076029,0.4158918351106628,9.581991414623312e-05,-0.0015757442886302,0.0221685013403424,0.26,0.65,12,1.0
0.2324096449030353,0.4193674704085862,7.988845506383443e-05,-0.0016198095671383,0.0221501932369713,0.26,0.65,12,1.0
0.1319415206049025,0.4109951267170752,9.844049951647705e-06,-0.00015661489768561116,0.0207969194047734,0.26,0.65,12,1.0
0.1307714936060849,0.4108976244671737,5.866545479737177e-06,-8.143272233993591e-05,0.0208133075704506,0.26,0.65,12,1.0
0.1317395559551401,0.4091785614452647,7.475279117363925e-06,-0.00013830832082652674,0.0207981270143741,0.26,0.65,12,1.0
0.230371247786515,0.4153654158494155,0.0001178353129126166,-0.0016773456770844,0.0220995543028036,0.26,0.65,12,1.0
0.2278317418796488,0.4189859784899706,0.00010151205649653808,-0.0017130071258468,0.0220790985342152,0.26,0.65,12,1.0
0.2256915357699652,0.4148436979793266,0.0001404907098600485,-0.0017649999226544,0.0220240821608329,0.26,0.65,12,1.0
0.2230407412884095,0.4185867284407008,0.0001239089521535431,-0.0017931447205582,0.0220011470357646,0.26,0.65,12,1.0
0.2208232067395206,0.4143224440348887,0.0001620404765917373,-0.0018371768636823,0.0219426788248419,0.26,0.65,12,1.0
0.2180232196019891,0.418168601633499,0.00014528469419203358,-0.001859067914844,0.0219171153894806,0.26,0.65,12,1.0
0.1329066889907934,0.4089499988196078,9.317843449157796e-06,-0.0002128301253371221,0.0207842974858158,0.26,0.65,12,1.0
0.1336058436818859,0.4111338203068238,1.3435643982549376e-05,-0.0002595277054479961,0.0207881348292646,0.26,0.65,12,1.0
0.2157657768908647,0.4138178164625501,0.00018036391571995145,-0.0018927402799237,0.0218564708268917,0.26,0.65,12,1.0
0.2128635777526686,0.417738631479389,0.00016326368495987013,-0.001908623686953,0.0218289549915808,0.26,0.65,12,1.0
0.1352701667588693,0.4112725138965724,1.557360761253662e-05,-0.00035986910726501053,0.0207830299676334,0.26,0.65,12,1.0
0.1348197033455979,0.4088978442845024,1.0384043748901516e-05,-0.0003311792300108451,0.0207742525710231,0.26,0.65,12,1.0
0.2106322600026502,0.4133592972210549,0.00019309280870889248,-0.0019300670091481,0.0217675546550806,0.26,0.65,12,1.0
0.2077036482785859,0.4173086373565488,0.00017572981305382157,-0.0019404419212431,0.0217394316591847,0.26,0.65,12,1.0
0.137340265442496,0.4089536829355753,9.705791773846051e-06,-0.00047641549328189433,0.0207682740121893,0.26,0.65,12,1.0
0.1386935419904761,0.411557795165873,1.5541988883701917e-05,-0.0005497232314395159,0.0207777258758343,0.26,0.65,12,1.0
0.2054716530652112,0.4129219054968914,0.00019910218462017092,-0.0019492816453681,0.0216775875613426,0.26,0.65,12,1.0
0.2025437188045032,0.4168786432337086,0.00018167741324054052,-0.0019550273675168,0.0216493048288472,0.26,0.65,12,1.0
0.2679098775585332,0.0223258231298777,1.0786995351381896e-05,-0.00017156086113746707,0.0224473534405262,0.26,0.65,12,1.0
0.2692151311191733,0.0224345942599311,6.208101438575213e-06,-8.519721391386915e-05,0.0224336115058897,0.26,0.65,12,1.0
0.2682307371285294,0.0241462749194499,7.906453863489045e-06,-0.00014484878373682836,0.0224479987832698,0.26,0.65,12,1.0
0.1410235197338972,0.4091423746784343,6.814646166912795e-06,-0.0006703867321035498,0.0207697515644968,0.26,0.65,12,1.0
0.142706192317516,0.4118921826931263,1.4289277104728085e-05,-0.0007513777229264662,0.0207891192006733,0.26,0.65,12,1.0
0.2003028084617996,0.4124919261963689,0.00019783495268412896,-0.0019510798724735,0.0215870568971551,0.26,0.65,12,1.0
0.1973837893304205,0.4164486491108683,0.0001806173437872915,-0.0019527004801392,0.0215588324525376,0.26,0.65,12,1.0
0.2671480669133927,0.02436670035029,9.808628267695957e-06,-0.0002162063722130441,0.0224583487662541,0.26,0.65,12,1.0
0.2666046239978932,0.0222170519998244,1.4176837867128108e-05,-0.0002555864524164469,0.0224538605064505,0.26,0.65,12,1.0
0.1455182709600269,0.4093262034851564,4.247462844704963e-06,-0.0008786775906322056,0.0207889782234093,0.26,0.65,12,1.0
0.1472069869899351,0.4122672489158279,1.4551416685584993e-05,-0.00095142857938881,0.0208122099283788,0.26,0.65,12,1.0
0.1498133796230421,0.4094873916042355,5.277252743683971e-06,-0.0010534380899318,0.0208189459055491,0.26,0.65,12,1.0
0.1513090057605706,0.4126090838133809,1.8620149319237345e-05,-0.0011139427192047,0.0208474605310087,0.26,0.65,12,1.0
0.1951344567768437,0.4120694421953592,0.00018924622026342483,-0.0019360828030833,0.0214964691134772,0.26,0.65,12,1.0
0.1922238598563378,0.4160186549880281,0.0001726260243475688,-0.001933497751452,0.0214683417668975,0.26,0.65,12,1.0
0.1899755837537463,0.4116570487364602,0.00017386224689450516,-0.0019047862389774,0.0214064111215584,0.26,0.65,12,1.0
0.1870639303822551,0.4155886608651879,0.0001583608168745006,-0.0018972372704834,0.0213784425919936,0.26,0.65,12,1.0
0.1534810037812485,0.40963905908957,1.0239686665802087e-05,-0.001186176765715,0.0208554207663097,0.26,0.65,12,1.0
0.1550713585511695,0.4129226132125975,2.5887603662020983e-05,-0.0012472472126027,0.020889573956788,0.26,0.65,12,1.0
0.1848453505815764,0.4112496224363514,0.00015287127219557614,-0.0018575528299628,0.0213177927762633,0.26,0.65,12,1.0
