Velocity,i,Upper Width,Lower Width
0.25,3.0,0.11259277343750002,0.11252929687500002
0.25,4.0,0.09247070312500003,0.09240722656250003
0.25,5.0,0.07952148437500003,0.07945800781250004
0.25,6.0,0.07038085937500002,0.07031738281250002
0.25,7.0,0.06365234375000002,0.06358886718750001
0.25,8.0,0.05838378906250001,0.05832031250000001
0.25,9.0,0.05413085937500002,0.05406738281250002
0.25,10.0,0.050703125000000016,0.05063964843750002
0.25,11.0,0.04771972656250001,0.04765625000000001
0.25,12.0,0.04524414062500001,0.045180664062500014
0.25,13.0,0.04302246093750002,0.042958984375000016
0.25,14.0,0.04111816406250002,0.04105468750000002
0.3,3.0,0.10543945312500003,0.10538037109375004
0.3,4.0,0.08671044921875003,0.08665136718750002
0.3,5.0,0.07471679687500003,0.07465771484375003
0.3,6.0,0.06632714843750001,0.06626806640625002
0.3,7.0,0.060005371093750016,0.05994628906250002
0.3,8.0,0.05510156250000002,0.055042480468750016
0.3,9.0,0.05120214843750002,0.05114306640625002
0.3,10.0,0.04795263671875002,0.04789355468750002
0.3,11.0,0.045234863281250016,0.04517578125000002
0.3,12.0,0.04293066406250002,0.04287158203125002
0.3,13.0,0.04086279296875002,0.040803710937500015
0.3,14.0,0.03909033203125002,0.03903125000000002
0.35,3.0,0.0972578125,0.097203125
0.35,4.0,0.07975781250000001,0.07970312500000001
0.35,5.0,0.06865625,0.0686015625
0.35,6.0,0.0609453125,0.060890625000000004
0.35,7.0,0.055203125000000006,0.05514843750000001
0.35,8.0,0.050773437500000004,0.05071875000000001
0.35,9.0,0.047218750000000004,0.047164062500000006
0.35,10.0,0.04421093749999999,0.044156249999999994
0.35,11.0,0.041749999999999995,0.0416953125
0.35,12.0,0.0396171875,0.0395625
0.35,13.0,0.0377578125,0.037703125000000004
0.35,14.0,0.036171875000000006,0.03611718750000001
0.4,3.0,0.0881845703125,0.08813427734375001
0.4,4.0,0.07173876953125002,0.07168847656250002
0.4,5.0,0.061579589843750004,0.061529296875
0.4,6.0,0.05463916015625,0.0545888671875
0.4,7.0,0.049458984375,0.04940869140625
0.4,8.0,0.045485839843749994,0.045435546874999996
0.4,9.0,0.0423173828125,0.04226708984375
0.4,10.0,0.039702148437499994,0.03965185546875
0.4,11.0,0.037489257812499996,0.03743896484375
0.4,12.0,0.035578125,0.03552783203125
0.4,13.0,0.03391845703125,0.0338681640625
0.4,14.0,0.032510253906249995,0.0324599609375
0.45,3.0,0.078712890625,0.07862109375000001
0.45,4.0,0.063291015625,0.06319921875000001
0.45,5.0,0.05401953125,0.053927734375
0.45,6.0,0.047777343750000006,0.047685546875000005
0.45,7.0,0.043279296875000005,0.043187500000000004
0.45,8.0,0.039791015625,0.03969921875
0.45,9.0,0.037037109375,0.0369453125
0.45,10.0,0.0347421875,0.034650390625
0.45,11.0,0.032814453125,0.032722656249999996
0.45,12.0,0.031253906250000005,0.031162109375000004
0.45,13.0,0.02978515625,0.029693359375
0.45,14.0,0.0285,0.028408203125000003
0.5,3.0,0.0693310546875,0.06924804687500001
0.5,4.0,0.05488769531250001,0.05480468750000001
0.5,5.0,0.046586914062500005,0.046503906250000004
0.5,6.0,0.041108398437500006,0.041025390625000005
0.5,7.0,0.03712402343750001,0.03704101562500001
0.5,8.0,0.034135742187500005,0.034052734375000004
0.5,9.0,0.03172851562500001,0.03164550781250001
0.5,10.0,0.02973632812500001,0.02965332031250001
0.5,11.0,0.0281591796875,0.028076171875
0.5,12.0,0.026748046875,0.0266650390625
0.5,13.0,0.025585937500000003,0.025502929687500002
0.5,14.0,0.024506835937500006,0.024423828125000005
0.55,3.0,0.06021875,0.06014453125
0.55,4.0,0.046933593749999995,0.046859374999999995
0.55,5.0,0.03951171875000001,0.03943750000000001
0.55,6.0,0.0346875,0.03461328125
0.55,7.0,0.0312734375,0.03119921875
0.55,8.0,0.02875,0.028675781250000004
0.55,9.0,0.026746093750000005,0.026671875000000005
0.55,10.0,0.0250390625,0.02496484375
0.55,11.0,0.023703125,0.023628906249999998
0.55,12.0,0.022515624999999997,0.022441406249999997
0.55,13.0,0.021550781249999998,0.021476562499999997
0.55,14.0,0.02066015625,0.0205859375
0.6,3.0,0.05158593750000001,0.05152050781250001
0.6,4.0,0.03948144531250001,0.03941601562500001
0.6,5.0,0.032938476562500006,0.032873046875000006
0.6,6.0,0.02881640625000001,0.02875097656250001
0.6,7.0,0.02593750000000001,0.02587207031250001
0.6,8.0,0.02377832031250001,0.02371289062500001
0.6,9.0,0.022077148437500006,0.022011718750000006
0.6,10.0,0.020703125000000006,0.02063769531250001
0.6,11.0,0.019590820312500007,0.019525390625000007
