f,n,continuity,momentum_x,momentum_y
0.3,3,81749700.01775692,4554706519.303623,4796636332.865365
0.3,4,169.0674245249459,14638.157615675551,7131.297394314776
0.3,5,349971260.20873,144890785510.34616,143480788382.4327
0.3,6,242.17694277645197,16017.504065142652,7309.282766892685
0.3,7,613.1644804099715,15513.30450414988,6910.085145978953
0.3,8,354090920009.57806,3587713941708.797,3521181851021.513
0.3,9,195.66587339573252,14749.089468337095,6566.315897875327
0.3,10,1300729065.0194948,639484235685.6799,712981933283.5443
0.3,11,103.04015866860098,24107.368801008528,15028.430745378395
0.3,12,246.38682169470522,244176.56337295446,235693.15132950566
0.3,13,2919624855.765521,11348797462347.883,12042717447768.488
0.3,14,100960881.82574868,1024779531777.9746,968975296359.6852
0.35,3,11.247291865058822,12721.738269263798,5899.489467125934
0.35,4,1176184103.7994032,463276939975.1362,464785908667.2832
0.35,5,7.908040073057275,13007.954351794408,5446.854749416974
0.35,6,81939574.86706787,71610715031.83022,78307609124.0399
0.35,7,2390.1603382667945,13935.65744632775,5133.548907285398
0.35,8,18084081052.39473,105071201763.13525,97894274462.7889
0.35,9,247522291.7602888,99617290269.74574,97814581123.46037
0.35,10,1821.8658136638053,70564.50499966058,63588.75213735345
0.35,11,2125.0795463705367,13932.816559200657,5380.493147591596
0.35,12,1421791419.7051644,188907157778.503,200713972686.61105
0.35,13,255.89244582786017,21776.97058897718,13622.043569423464
0.35,14,8.306503582717657,42030.68530404385,33564.38989044699
0.4,3,12933504777.673449,181753571712.78574,196940854182.19254
0.4,4,1705839.9888159437,420932651.19283134,465392980.1163196
0.4,5,94839898.7081638,75136582311.34972,78319021882.33553
0.4,6,20998039.04325432,1504665793.671777,1585556108.1028285
0.4,7,361111842.1561715,3957098326.2511344,3971835861.9070067
0.4,8,95321299444.57675,182313310624.31335,164093234754.86166
0.4,9,14504561.011174856,113016599578.365,116652425596.43727
0.4,10,24165398964.845676,2860438619628.598,3135420215899.068
0.4,11,284082901.64692,5506403674.186831,6080167102.691243
0.4,12,8466625383.256826,288829587602.4879,294422424894.4543
0.4,13,267.7038547309249,13490.849334392262,5989.368946720262
0.4,14,129209633.10139187,2393311768804.583,2511475076716.9116
0.45,3,10932801.148931354,20420197202.634304,20928931128.55766
0.45,4,235489415.23574847,2001905786.9282787,1936419829.003506
0.45,5,4901428347.789778,22829226465.586895,21862300744.609604
0.45,6,1481.9755216165104,11418.723918634732,3768.852165184218
0.45,7,866223132.9443753,1686402230.215684,1369278233.3099196
0.45,8,25924050.11674578,2691464466.563014,2787515151.5028267
0.45,9,6.157098263347058,10238.305781502093,3667.6853286143614
0.45,10,37.65943851397748,12411.586602877143,5853.865801313335
