epoch,total_loss,u_loss,v_loss,p_loss
0,"tensor(0.0399, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0104, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0251, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0044, device='cuda:0', grad_fn=<MseLossBackward0>)"
1,"tensor(0.0140, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0044, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0064, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0032, device='cuda:0', grad_fn=<MseLossBackward0>)"
2,"tensor(0.0054, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0019, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0014, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0021, device='cuda:0', grad_fn=<MseLossBackward0>)"
3,"tensor(0.0034, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0017, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0006, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0011, device='cuda:0', grad_fn=<MseLossBackward0>)"
4,"tensor(0.0023, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0016, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0004, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward0>)"
5,"tensor(0.0019, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0014, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0003, device='cuda:0', grad_fn=<MseLossBackward0>)"
6,"tensor(0.0014, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0012, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward0>)"
7,"tensor(0.0011, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0008, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0002, device='cuda:0', grad_fn=<MseLossBackward0>)"
8,"tensor(0.0010, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0008, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward0>)"
9,"tensor(0.0009, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(0.0001, device='cuda:0', grad_fn=<MseLossBackward0>)"
10,"tensor(0.0009, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(9.3223e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.9915e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
11,"tensor(0.0009, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(8.4239e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.4697e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
12,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.8399e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.8790e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
13,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.3288e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.0420e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
14,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.4888e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.8730e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
15,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.2311e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.5812e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
16,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.0570e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.4055e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
17,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.0293e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.3276e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
18,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.0613e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.2951e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
19,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(7.0834e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.9621e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
20,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.9716e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.9256e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
21,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.9171e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.7013e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
22,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.8367e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.5633e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
23,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.8377e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.4653e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
24,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.7834e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.4781e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
25,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.6602e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.5708e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
26,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.6315e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.4627e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
27,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.5869e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.3009e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
28,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.6076e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.1072e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
29,"tensor(0.0008, device='cuda:0', grad_fn=<AddBackward0>)","tensor(0.0007, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(6.6387e-05, device='cuda:0', grad_fn=<MseLossBackward0>)","tensor(5.0264e-05, device='cuda:0', grad_fn=<MseLossBackward0>)"
