f,d,n,x,y,p
0.25,0.003,3.0,0.0,0.0059188376753507,38.88080533673062
0.25,0.003,4.0,0.0,0.0059188376753507,38.11401025759479
0.25,0.003,5.0,0.0,0.0059188376753507,37.64032129718383
0.25,0.003,6.0,0.0,0.0059188376753507,37.34785563691961
0.25,0.003,7.0,0.0,0.0059188376753507,37.15519046666057
0.25,0.003,8.0,0.0,0.0059188376753507,37.0316481205376
0.25,0.003,9.0,0.0,0.0059188376753507,36.94040173527349
0.25,0.003,10.0,0.0,0.0059188376753507,36.87286461704808
0.25,0.003,11.0,0.0,0.0059188376753507,36.82009662667127
0.25,0.003,12.0,0.0,0.0059188376753507,36.77753538071183
0.25,0.003,13.0,0.0,0.0059188376753507,36.74323616813415
0.25,0.003,14.0,0.0,0.0059188376753507,36.713658103429786
0.3,0.0036,3.0,0.0,0.0059242484969939,37.14874501978649
0.3,0.0036,4.0,0.0,0.0059074148296593,36.367134441042126
0.3,0.0036,5.0,0.0,0.0059074148296593,35.88746951232623
0.3,0.0036,6.0,0.0,0.0059074148296593,35.591189206576914
0.3,0.0036,7.0,0.0,0.0059242484969939,35.39945490198114
0.3,0.0036,8.0,0.0,0.0059242484969939,35.26979469932577
0.3,0.0036,9.0,0.0,0.0059242484969939,35.17918428710071
0.3,0.0036,10.0,0.0,0.0059242484969939,35.11288402618714
0.3,0.0036,11.0,0.0,0.0059242484969939,35.062531915446485
0.3,0.0036,12.0,0.0,0.0059242484969939,35.024178424657514
0.3,0.0036,13.0,0.0,0.0059242484969939,34.992258100916025
0.3,0.0036,14.0,0.0,0.0059242484969939,34.966298932949925
0.35,0.0042,3.0,0.0,0.005851503006012,36.48955751437376
0.35,0.0042,4.0,0.0,0.005851503006012,35.66921932076999
0.35,0.0042,5.0,0.0,0.005851503006012,35.165434288352046
0.35,0.0042,6.0,0.0,0.005851503006012,34.85435152490664
0.35,0.0042,7.0,0.0,0.005851503006012,34.65340876424605
0.35,0.0042,8.0,0.0,0.005851503006012,34.51713235260494
0.35,0.0042,9.0,0.0,0.005851503006012,34.4161649030749
0.35,0.0042,10.0,0.0,0.005851503006012,34.34716481211402
0.35,0.0042,11.0,0.0,0.005851503006012,34.29586940935787
0.35,0.0042,12.0,0.0,0.005851503006012,34.25563886425177
0.35,0.0042,13.0,0.0,0.0059921843687374,34.222622732472054
0.35,0.0042,14.0,0.0,0.0059921843687374,34.19613298163708
0.4,0.0048,3.0,0.0,0.0058484969939879,36.698398639306056
0.4,0.0048,4.0,0.0,0.0058484969939879,35.81302867217383
0.4,0.0048,5.0,0.0,0.0058484969939879,35.27125968542312
0.4,0.0048,6.0,0.0,0.0058484969939879,34.94034853353946
0.4,0.0048,7.0,0.0,0.0058484969939879,34.72538909380235
0.4,0.0048,8.0,0.0,0.0058484969939879,34.58120961231788
0.4,0.0048,9.0,0.0,0.0058484969939879,34.47749685163754
0.4,0.0048,10.0,0.0,0.0058484969939879,34.40112861655582
0.4,0.0048,11.0,0.0,0.0058484969939879,34.34599743190357
0.4,0.0048,12.0,0.0,0.0059927855711422,34.30181807023147
0.4,0.0048,13.0,0.0,0.0059927855711422,34.27092711089138
0.4,0.0048,14.0,0.0,0.0059927855711422,34.24495983344253
0.45,0.0054,3.0,0.0,0.0058478957915831,37.729339467818775
0.45,0.0054,4.0,0.0,0.0058478957915831,36.75207521575782
0.45,0.0054,5.0,0.0,0.0058478957915831,36.16058152209988
0.45,0.0054,6.0,0.0,0.0058478957915831,35.79902984066763
0.45,0.0054,7.0,0.0,0.0058478957915831,35.56687403161923
0.45,0.0054,8.0,0.0,0.0058478957915831,35.409279238647166
0.45,0.0054,9.0,0.0,0.0058478957915831,35.29982699493395
0.45,0.0054,10.0,0.0,0.0058478957915831,35.21831091061181
0.45,0.0054,11.0,0.0,0.005993386773547,35.15891973521516
0.45,0.0054,12.0,0.0,0.005993386773547,35.11293793329223
0.45,0.0054,13.0,0.0,0.005993386773547,35.08017083012713
0.45,0.0054,14.0,0.0,0.005993386773547,35.052980519275835
0.5,0.006,3.0,0.0,0.0058496993987975,39.64350210367287
0.5,0.006,4.0,0.0,0.0058496993987975,38.54217400919064
0.5,0.006,5.0,0.0,0.0058496993987975,37.88545488223178
0.5,0.006,6.0,0.0,0.0058496993987975,37.48594444536269
0.5,0.006,7.0,0.0,0.0058496993987975,37.2320992895015
0.5,0.006,8.0,0.0,0.0059939879759519,37.06162191075888
0.5,0.006,9.0,0.0,0.0059939879759519,36.94413633331355
0.5,0.006,10.0,0.0,0.0059939879759519,36.85926866093661
0.5,0.006,11.0,0.0,0.0059939879759519,36.79439983005251
0.5,0.006,12.0,0.0,0.0059939879759519,36.74632078484595
0.5,0.006,13.0,0.0,0.0059939879759519,36.707945841045365
0.5,0.006,14.0,0.0,0.0059939879759519,36.67872816903713
0.55,0.0066,3.0,0.0,0.0059945891783567,42.60412750262247
0.55,0.0066,4.0,0.0,0.0058539078156312,41.34523934392213
0.55,0.0066,5.0,0.0,0.0059945891783567,40.60815387351104
0.55,0.0066,6.0,0.0,0.0059945891783567,40.170117512259495
0.55,0.0066,7.0,0.0,0.0059945891783567,39.89127653751425
0.55,0.0066,8.0,0.0,0.0059945891783567,39.70547082231059
0.55,0.0066,9.0,0.0,0.0059945891783567,39.576850575051694
0.55,0.0066,10.0,0.0,0.0059945891783567,39.482686875278105
0.55,0.0066,11.0,0.0,0.0059945891783567,39.41228969875553
0.55,0.0066,12.0,0.0,0.0059945891783567,39.3592010077181
0.55,0.0066,13.0,0.0,0.0059945891783567,39.316905429021645
0.55,0.0066,14.0,0.0,0.0059945891783567,39.282828078233976
0.6,0.0072,3.0,0.0,0.0059951903807615,46.94085891585237
0.6,0.0072,4.0,0.0,0.0059951903807615,45.49558658604237
0.6,0.0072,5.0,0.0,0.0059951903807615,44.66367235834483
0.6,0.0072,6.0,0.0,0.0059951903807615,44.172308783138455
0.6,0.0072,7.0,0.0,0.0059951903807615,43.86163066867408
0.6,0.0072,8.0,0.0,0.0059951903807615,43.65486085669836
0.6,0.0072,9.0,0.0,0.0059951903807615,43.51181576569579
0.6,0.0072,10.0,0.0,0.0059951903807615,43.40840658622631
0.6,0.0072,11.0,0.0,0.0059951903807615,43.33050487584335
0.6,0.0072,12.0,0.0,0.0059951903807615,43.27065101851492
0.6,0.0072,13.0,0.0,0.0059951903807615,43.22550195572002
0.6,0.0072,14.0,0.0,0.0059951903807615,43.18784351984019
0.65,0.0078,3.0,0.0,0.0059957915831663,53.19527572124923
0.65,0.0078,4.0,0.0,0.0059957915831663,51.529063659591664
0.65,0.0078,5.0,0.0,0.0059957915831663,50.5871783020082
0.65,0.0078,6.0,0.0,0.0059957915831663,50.03475831352912
0.65,0.0078,7.0,0.0,0.0059957915831663,49.69140819135505
0.65,0.0078,8.0,0.0,0.0059957915831663,49.46071915774485
0.65,0.0078,9.0,0.0,0.0059957915831663,49.300220617108586
0.65,0.0078,10.0,0.0,0.0059957915831663,49.18584988397376
0.65,0.0078,11.0,0.0,0.0059957915831663,49.101627361270765
0.65,0.0078,12.0,0.0,0.0059957915831663,49.034622474837086
0.65,0.0078,13.0,0.0,0.0059957915831663,48.9860428215561
0.65,0.0078,14.0,0.0,0.0059957915831663,48.943408418774034
0.7,0.0084,3.0,0.0,0.006075751503006,62.37266634803588
0.7,0.0084,4.0,0.0,0.006075751503006,60.43693918937453
0.7,0.0084,5.0,0.0,0.006075751503006,59.37168340736983
0.7,0.0084,6.0,0.0,0.006075751503006,58.75548295087818
0.7,0.0084,7.0,0.0,0.006075751503006,58.369447398620224
0.7,0.0084,8.0,0.0,0.006075751503006,58.11737232351882
0.7,0.0084,9.0,0.0,0.006075751503006,57.94276735341826
0.7,0.0084,10.0,0.0,0.006075751503006,57.81354311837776
0.7,0.0084,11.0,0.0,0.006075751503006,57.71984494117053
0.7,0.0084,12.0,0.0,0.0059242484969939,57.64664792566192
0.7,0.0084,13.0,0.0,0.006075751503006,57.591846782810606
0.7,0.0084,14.0,0.0,0.0059242484969939,57.54782414942845
