epoch,total_loss,u_loss,v_loss,p_loss,periodic_total_loss,u_diff_loss,v_diff_loss,p_diff_loss,periodic_diff_total
0,0.020380385543989098,0.00030362126025189036,4.070781316208329e-05,0.00030213016899601234,0.000583574945188087,3.38254940288607e-05,6.264859985094517e-05,2.4789892449916806e-06,9.895308312479756e-05
1,0.01529135295878286,0.00024116951048515898,3.1078373111718655e-05,6.009382812645408e-05,0.0005587941521535749,0.00016213259368669242,5.9865658840863034e-05,1.030033445204026e-06,0.00022302828597275948
2,0.014925346304864986,0.00023314458540762249,3.0397753305252358e-05,4.254361635463758e-05,0.0005526798979743668,2.0167441107332706e-05,5.843551116413437e-05,1.003591592052544e-06,7.960654386351962e-05
3,0.014852315713853939,0.00022594901510392842,3.0277736542579394e-05,4.038919858272572e-05,0.0005562907975652944,1.786042412277311e-05,5.920169496675953e-05,1.1325148534524487e-06,7.819463394298509e-05
4,0.014916642083098059,0.00022867819833387014,3.0400191779177554e-05,3.993643701466246e-05,0.000555794767063597,2.3924498236738145e-05,6.04731249040924e-05,1.305846922150522e-06,8.570347006298107e-05
5,0.014889492653310299,0.0002252940055610531,3.0330204975578692e-05,3.987958473811412e-05,0.0005440804297509401,1.3647564628627151e-05,6.069572191336192e-05,1.4821258673691773e-06,7.582541240935825e-05
6,0.014829886307858902,0.00022799993040161613,3.0213936359201476e-05,3.982386703643462e-05,0.0005487168774656627,2.477756243024487e-05,6.121332990005612e-05,1.6681809711371898e-06,8.765907330143818e-05
7,0.014791163291944109,0.00022816227726213148,3.0167053805400982e-05,3.977813360941819e-05,0.000563907922933931,1.9162933313054964e-05,6.188192492118105e-05,1.8479863683751319e-06,8.289284460261115e-05
8,0.014823741077081017,0.0002319540122382181,3.0256709183247395e-05,3.972462914332383e-05,0.0005810797700415487,4.532316597760655e-05,6.279359513428062e-05,2.0024958757858258e-06,0.000110119256987673
9,0.014853524084648361,0.00023772081792982215,3.0321650822019286e-05,3.9709756453268476e-05,0.0005897417178620462,4.978427023161203e-05,6.330385076580569e-05,2.137138380930992e-06,0.00011522525937834871
10,0.014873809748045776,0.00024132450103618044,3.0360972706820693e-05,3.966751730489626e-05,0.0005952648251600888,0.00010914372251136228,6.332766497507691e-05,2.2441854525823146e-06,0.0001747155729390215
11,0.014837875557334526,0.0002369751442608464,3.0306000632623657e-05,3.962526131110043e-05,0.0005983297267685766,8.592576341470703e-05,6.36637705611065e-05,2.314994162588846e-06,0.00015190452813840238
12,0.014911728263225245,0.00023012429617507303,3.0461956750672392e-05,3.947827470888708e-05,0.0005958908358993738,9.566038352204487e-05,6.383958680089563e-05,2.3795748802513117e-06,0.0001618795452031918
13,0.014931574099413727,0.0002270966177330474,3.054112723633728e-05,3.934197490667904e-05,0.0006104859968890314,5.021961624152027e-05,6.370477785822004e-05,2.4052396838669665e-06,0.00011632963378360728
14,0.014887445727768152,0.00022723633003846297,3.044832073615196e-05,3.9334843202833206e-05,0.000609125375099804,6.741967081325129e-05,6.445675535360351e-05,2.4312462301168125e-06,0.0001343076723969716
15,0.014874042376228,0.00022351631069677356,3.041765186302971e-05,3.927547882283208e-05,0.0006021261620132819,3.8066031265771016e-05,6.416666292352602e-05,2.4423909508186625e-06,0.0001046750851401157
16,0.014977291793279026,0.0002247892799736608,3.0633888419960506e-05,3.92796650292281e-05,0.0006090503024018329,5.543563747778535e-05,6.467547791544348e-05,2.4513806238246616e-06,0.0001225624960170535
17,0.014921396160903185,0.0002228535323292422,3.053060588528119e-05,3.924317024939228e-05,0.0006103833894366803,3.430186188779771e-05,6.398878031177446e-05,2.4448106614727294e-06,0.0001007354528610449
18,0.014887012379324955,0.0002235458839846694,3.0455246656935703e-05,3.9281773317033306e-05,0.0006087287126675896,5.4288928367896006e-05,6.495017441920936e-05,2.4352568743779557e-06,0.00012167435966148332
19,0.014921676772444145,0.00022269606542186406,3.0529905653447315e-05,3.935493923959059e-05,0.0006097794065008993,3.483103864709847e-05,6.514752021757886e-05,2.4251107788586523e-06,0.00010240366964353598
20,0.014860029291847477,0.00022320505408772632,3.0392696672883492e-05,3.9414463137053765e-05,0.0006043105993581855,5.658709415001795e-05,6.455224502133206e-05,2.4183107143471716e-06,0.00012355764988569717
21,0.014910527666949707,0.00022301632776836178,3.050797567993868e-05,3.9290878861641474e-05,0.0006104094259764837,3.842848673230037e-05,6.59391880617477e-05,2.395051978965057e-06,0.00010676272677301313
22,0.014835722865941732,0.00022298820650852892,3.033964806135096e-05,3.9062739233486354e-05,0.0006016834598520528,5.996975232847035e-05,6.485275662271306e-05,2.3981187950994354e-06,0.00012722062774628284
23,0.014865661687825037,0.000222815554993956,3.040338062577496e-05,3.8915838677380435e-05,0.0006024873127108035,4.1563900595065206e-05,6.476856651715934e-05,2.3932809654070297e-06,0.00010872574807763158
24,0.01485183806685002,0.0002211002245768095,3.0387730594552323e-05,3.888795863135981e-05,0.0006074950746867968,5.9003337810281664e-05,6.46363478153944e-05,2.3926581889099907e-06,0.00012603234381458606
25,0.01480944223863923,0.00022154938715570808,3.0281433915344838e-05,3.883486802489801e-05,0.000596377553175325,4.173924753558822e-05,6.437872798414901e-05,2.40807071349991e-06,0.00010852604623323714
26,0.014820352966046852,0.00021992348078840777,3.0308984012504958e-05,3.906050867795863e-05,0.0005984983366468679,5.725881419493817e-05,6.397214747266844e-05,2.402900236120331e-06,0.00012363386190372694
27,0.014843175592629806,0.00022036419060263458,3.0360333925194066e-05,3.911027820520204e-05,0.0006010554244984751,3.925704368157312e-05,6.392955401679501e-05,2.3735328795737587e-06,0.00010556013057794189
28,0.014787641637351202,0.00021824991246989077,3.024110399406788e-05,3.912408275304504e-05,0.0005956033406698185,5.577575211646035e-05,6.421456055250019e-05,2.34955632549827e-06,0.0001223398689944588
29,0.014820260724619679,0.00021992675686741004,3.029715077465643e-05,3.935611865650255e-05,0.000592182835806971,3.845588435069658e-05,6.46503031020984e-05,2.3587829218740808e-06,0.00010546497037466906
30,0.014833702219893103,0.00021678672245521423,3.0334970490556493e-05,3.958813344386568e-05,0.0005954480932458588,5.417304782895371e-05,6.51767841191031e-05,2.321389729331713e-06,0.00012167122167738853
31,0.014794440697068754,0.00021843915126974815,3.0222292242915895e-05,3.984788900593033e-05,0.0005796199826442677,3.929703598259948e-05,6.48603672743775e-05,2.279359932799707e-06,0.00010643676318977668
32,0.014844284433385601,0.0002163534828350353,3.0332561041375257e-05,3.9681889851952135e-05,0.000583320937078932,5.29938297404442e-05,6.64251929265447e-05,2.238629349449184e-06,0.00012165765201643808
33,0.014752094674369564,0.0002166633367659929,3.0144147192755632e-05,3.943361029403446e-05,0.0005806741183218749,3.813433795585297e-05,6.537953595397994e-05,2.246586973342346e-06,0.00010576046088317526
34,0.014730578288435936,0.00021480349254409742,3.0092347752424363e-05,3.94102833366639e-05,0.00057494198984426,5.156519546289928e-05,6.422235310310498e-05,2.2628207716479665e-06,0.00011805036933765223
35,0.014767868525308111,0.00021652670883391377,3.016304016573881e-05,3.919330573926741e-05,0.000573960456835187,3.859121716232039e-05,6.467817001976073e-05,2.277286284879665e-06,0.00010554667346696078
36,0.01473542513406795,0.00021359415815981185,3.0100021277852964e-05,3.892967296174586e-05,0.0005722891377366108,5.172419696464203e-05,6.510945240734145e-05,2.299726475030184e-06,0.00011913337584701367
37,0.014762130525449047,0.00021532802518619144,3.015650509041734e-05,3.881805700391693e-05,0.0005747677515382352,3.763356289709918e-05,6.353435310302302e-05,2.316642849109485e-06,0.00010348455884923169
38,0.014724866122655247,0.00021201859066343826,3.0063388887514442e-05,3.861712360483817e-05,0.0005624875750230706,4.9219164793612435e-05,6.401059363270178e-05,2.3142486043070676e-06,0.00011554400703062129
39,0.01480406401273997,0.00021487541317069173,3.025099818921223e-05,3.8797730350937776e-05,0.0005798469014141871,3.9311831642407924e-05,6.735527858836576e-05,2.3233139927469892e-06,0.00010899042422352068
40,0.014753211289644241,0.00021094706228367337,3.0128148627345976e-05,3.8695553050037354e-05,0.0005653534975388776,4.6350050979526713e-05,6.283456605160609e-05,2.314903440492344e-06,0.00011149952047162515
41,0.014806845103916914,0.00021428157481790075,3.023222748395157e-05,3.884213267314329e-05,0.0005670263148520304,3.783814099733718e-05,6.644078530371189e-05,2.3017259991320316e-06,0.0001065806523001811
42,0.014685521833598614,0.00020935826709635717,2.9994396912946325e-05,3.890402576476133e-05,0.0005649302721671436,4.78382280562073e-05,6.470109656220302e-05,2.261234385514399e-06,0.00011480055900392472
43,0.014702816169870936,0.00021332712608652756,3.0011976338320654e-05,3.903330236979578e-05,0.0005600533407667409,3.753880082513206e-05,6.417934491764754e-05,2.262234147565323e-06,0.00010398037989034492
44,0.0146996996001057,0.00020838969921106067,3.0008740672517728e-05,3.910322645780347e-05,0.0005571383416004803,4.779164009960368e-05,6.437565025407821e-05,2.2552624159288825e-06,0.00011442255276961077
45,0.014685983040734478,0.00021171616706693464,2.9979750568441965e-05,3.94626988607975e-05,0.0005595636675539224,3.666828342829831e-05,6.442121957661584e-05,2.2408819404518e-06,0.00010333038494536595
46,0.01465855542894291,0.0002069256462045419,2.9931796708969277e-05,3.950434138064536e-05,0.0005585079931694528,4.279525455785915e-05,6.391778879333287e-05,2.1946311790088657e-06,0.00010890767453020089
47,0.014694734031091566,0.00021043542580193153,2.9997282462832317e-05,3.946997766552554e-05,0.0005582404201445372,3.589453990571201e-05,6.376818782882765e-05,2.176790985686239e-06,0.0001018395187202259
48,0.014656855481798235,0.00020568024648009273,2.994270123409755e-05,3.9414353127738096e-05,0.0005643023987827094,4.22821358370129e-05,6.393143121385947e-05,2.175567487938679e-06,0.00010838913453881105
49,0.014689471167714699,0.00020966001307976472,3.0011198601720896e-05,3.955632714876075e-05,0.0005698334830610648,3.582344652386382e-05,6.524181662825868e-05,2.188743110309588e-06,0.00010325400626243209
50,0.014660197350641956,0.0002047858484413313,2.9934133477660868e-05,3.953916522099778e-05,0.000555843762729479,4.0519898902857676e-05,6.425619358196855e-05,2.1582286535704043e-06,0.00010693432113839663
